,close,volume
0,57800,17492699
1,58600,20111398
2,58200,20609572
3,59200,14945221
4,59300,18627261
5,59500,23772581
6,61000,16959959
7,61000,17813226
8,60400,20469362
9,59000,15925907
10,59200,29678807
11,58400,30050734
12,58700,31517520
13,56500,18099171
14,55600,21982958
15,56400,27144978
16,54400,16905723
17,54200,17394583
18,54000,32671367
19,55400,14619888
20,55600,15709429
21,56400,17541332
22,56400,13782160
23,56100,15055896
24,55900,21142288
25,55400,30386029
26,57800,16930719
27,58400,25307825
28,58000,15672548
29,58700,22089460
30,59000,18573934
31,58200,24907912
32,57800,17774291
33,57500,18751717
34,58000,21625874
35,56900,17739706
36,57300,19419694
37,56800,21158940
38,57900,21943345
39,59000,19285354
40,59000,36476611
41,58600,48431566
42,55600,21054421
43,54200,10994535
44,54100,16214932
45,54700,12885057
46,55300,18297260
47,54200,10507530
48,54400,10096174
49,53800,16779127
50,54700,24051450
51,53800,14269484
52,53400,12240188
53,52700,13714746
54,52800,17054850
55,53000,19664652
56,53400,30760032
57,55000,19856623
58,53600,11887868
59,52900,14142583
60,52600,16706143
61,52800,21157172
62,52400,17776925
63,53300,21575360
64,51900,18541624
65,52900,24519552
66,51400,18086152
67,52000,13801350
68,52900,18157985
69,52300,15982926
70,52200,26672595
71,52100,21808375
72,49900,28772921
73,52300,26976019
74,54300,33815123
75,55400,16742493
76,55500,23998831
77,54900,25634965
78,55500,22743629
79,54600,40220334
80,54500,49257814
81,51400,14247933
82,51200,16949183
83,50700,27596961
84,50400,31309318
85,49900,19548479
86,49250,15127490
87,48850,14337913
88,48750,19706284
89,49950,14949266
90,50000,14896899
91,50300,25168295
92,48800,20481981
93,47850,18463118
94,48000,19305974
95,48550,20223277
96,47900,23433590
97,48400,16357743
98,48800,15319700
99,48800,13884411
100,49200,18070225
101,48500,26083749
102,50000,15604533
103,50100,16095399
104,49850,14049471
105,49350,15618347
106,49850,18754442
107,49850,18613864
108,49250,27407543
109,50100,21866354
110,51400,32041675
111,49000,23349760
112,49000,14206216
113,48300,14431800
114,49250,17839111
115,49100,22628058
116,48600,25010314
117,49600,31524034
118,48700,23395726
119,47000,22784682
